,Team_1,Team_2,Winner,Margin,Ground,Match Date
0,New Zealand,West Indies,New Zealand,3 wickets,Auckland,"Jan 2, 2000"
1,New Zealand,West Indies,New Zealand,7 wickets,Taupo,"Jan 4, 2000"
2,New Zealand,West Indies,New Zealand,4 wickets,Napier,"Jan 6, 2000"
3,New Zealand,West Indies,New Zealand,8 wickets,Wellington,"Jan 8-9, 2000"
4,Australia,Pakistan,Pakistan,45 runs,Brisbane,"Jan 9, 2000"
5,India,Pakistan,Pakistan,2 wickets,Brisbane,"Jan 10, 2000"
6,New Zealand,West Indies,New Zealand,20 runs,Christchurch,"Jan 11, 2000"
7,Australia,India,Australia,28 runs,Melbourne,"Jan 12, 2000"
8,Australia,India,Australia,5 wickets,Sydney,"Jan 14, 2000"
9,Australia,Pakistan,Australia,6 wickets,Melbourne,"Jan 16, 2000"
10,Australia,Pakistan,Australia,81 runs,Sydney,"Jan 19, 2000"
11,India,Pakistan,Pakistan,32 runs,Hobart,"Jan 21, 2000"
12,South Africa,Zimbabwe,South Africa,6 wickets,Johannesburg,"Jan 21, 2000"
13,Australia,Pakistan,Australia,15 runs,Melbourne,"Jan 23, 2000"
14,South Africa,England,England,9 wickets,Bloemfontein,"Jan 23, 2000"
15,India,Pakistan,India,48 runs,Adelaide,"Jan 25, 2000"
16,Australia,India,Australia,152 runs,Adelaide,"Jan 26, 2000"
17,South Africa,England,South Africa,1 run,Cape Town,"Jan 26, 2000"
18,India,Pakistan,Pakistan,104 runs,Perth,"Jan 28, 2000"
19,England,Zimbabwe,Zimbabwe,104 runs,Cape Town,"Jan 28, 2000"
20,Australia,India,Australia,4 wickets,Perth,"Jan 30, 2000"
21,England,Zimbabwe,England,8 wickets,Kimberley,"Jan 30, 2000"
22,Australia,Pakistan,Australia,6 wickets,Melbourne,"Feb 2, 2000"
23,South Africa,Zimbabwe,Zimbabwe,2 wickets,Durban,"Feb 2, 2000"
24,Australia,Pakistan,Australia,152 runs,Sydney,"Feb 4, 2000"
25,South Africa,England,South Africa,2 wickets,East London,"Feb 4, 2000"
26,South Africa,Zimbabwe,South Africa,53 runs,Gqeberha,"Feb 6, 2000"
27,Pakistan,Sri Lanka,Sri Lanka,29 runs,Karachi,"Feb 13, 2000"
28,South Africa,England,South Africa,38 runs,Johannesburg,"Feb 13, 2000"
29,Pakistan,Sri Lanka,Sri Lanka,34 runs,Gujranwala,"Feb 16, 2000"
30,Zimbabwe,England,England,5 wickets,Bulawayo,"Feb 16, 2000"
31,New Zealand,Australia,no result,-,Wellington,"Feb 17, 2000"
